Year;City;Sport;Discipline;Event;Event gender;Medal;NOC
1896;Athens;Aquatics;Swimming;100m freestyle;M;Gold;HUN
1896;Athens;Aquatics;Swimming;100m freestyle;M;Silver;AUT
1896;Athens;Aquatics;Swimming;100m freestyle for sailors;M;Bronze;GRE
1896;Athens;Aquatics;Swimming;100m freestyle for sailors;M;Gold;GRE
1896;Athens;Aquatics;Swimming;100m freestyle for sailors;M;Silver;GRE
1896;Athens;Aquatics;Swimming;1200m freestyle;M;Bronze;GRE
1896;Athens;Aquatics;Swimming;1200m freestyle;M;Gold;HUN
1896;Athens;Aquatics;Swimming;1200m freestyle;M;Silver;GRE
1896;Athens;Aquatics;Swimming;400m freestyle;M;Bronze;GRE
1896;Athens;Aquatics;Swimming;400m freestyle;M;Gold;AUT
1896;Athens;Aquatics;Swimming;400m freestyle;M;Silver;GRE
1896;Athens;Athletics;Athletics;100m;M;Bronze;USA
1896;Athens;Athletics;Athletics;100m;M;Bronze;HUN
1896;Athens;Athletics;Athletics;100m;M;Gold;USA
1896;Athens;Athletics;Athletics;100m;M;Silver;GER
1896;Athens;Athletics;Athletics;110m hurdles;M;Gold;USA
1896;Athens;Athletics;Athletics;110m hurdles;M;Silver;GBR
1896;Athens;Athletics;Athletics;1500m;M;Bronze;FRA
1896;Athens;Athletics;Athletics;1500m;M;Gold;AUS
1896;Athens;Athletics;Athletics;1500m;M;Silver;USA
1896;Athens;Athletics;Athletics;400m;M;Bronze;GBR
1896;Athens;Athletics;Athletics;400m;M;Gold;USA
1896;Athens;Athletics;Athletics;400m;M;Silver;USA
1896;Athens;Athletics;Athletics;800m;M;Bronze;GRE
1896;Athens;Athletics;Athletics;800m;M;Gold;AUS
1896;Athens;Athletics;Athletics;800m;M;Silver;HUN
1896;Athens;Athletics;Athletics;discus throw;M;Bronze;GRE
1896;Athens;Athletics;Athletics;discus throw;M;Gold;USA
1896;Athens;Athletics;Athletics;discus throw;M;Silver;GRE
1896;Athens;Athletics;Athletics;high jump;M;Gold;USA
1896;Athens;Athletics;Athletics;high jump;M;Silver;USA
1896;Athens;Athletics;Athletics;high jump;M;Silver;USA
1896;Athens;Athletics;Athletics;long jump;M;Bronze;USA
1896;Athens;Athletics;Athletics;long jump;M;Gold;USA
1896;Athens;Athletics;Athletics;long jump;M;Silver;USA
1896;Athens;Athletics;Athletics;marathon;M;Bronze;HUN
1896;Athens;Athletics;Athletics;marathon;M;Gold;GRE
1896;Athens;Athletics;Athletics;marathon;M;Silver;GRE
1896;Athens;Athletics;Athletics;pole vault;M;Bronze;GRE
1896;Athens;Athletics;Athletics;pole vault;M;Bronze;GRE
1896;Athens;Athletics;Athletics;pole vault;M;Gold;USA
1896;Athens;Athletics;Athletics;pole vault;M;Silver;USA
1896;Athens;Athletics;Athletics;shot put;M;Bronze;GRE
1896;Athens;Athletics;Athletics;shot put;M;Gold;USA
1896;Athens;Athletics;Athletics;shot put;M;Silver;GRE
1896;Athens;Athletics;Athletics;triple jump;M;Bronze;GRE
1896;Athens;Athletics;Athletics;triple jump;M;Gold;USA
1896;Athens;Athletics;Athletics;triple jump;M;Silver;FRA
1896;Athens;Cycling;Cycling Road;individual road race;M;Bronze;GBR
1896;Athens;Cycling;Cycling Road;individual road race;M;Gold;GRE
1896;Athens;Cycling;Cycling Road;individual road race;M;Silver;GER
1896;Athens;Cycling;Cycling Track;100km;M;Gold;FRA
1896;Athens;Cycling;Cycling Track;100km;M;Silver;GRE
1896;Athens;Cycling;Cycling Track;10km;M;Bronze;AUT
1896;Athens;Cycling;Cycling Track;10km;M;Gold;FRA
1896;Athens;Cycling;Cycling Track;10km;M;Silver;FRA
1896;Athens;Cycling;Cycling Track;12-hour race;M;Gold;AUT
1896;Athens;Cycling;Cycling Track;12-hour race;M;Silver;GBR
1896;Athens;Cycling;Cycling Track;1km time trial;M;Bronze;AUT
1896;Athens;Cycling;Cycling Track;1km time trial;M;Gold;FRA
1896;Athens;Cycling;Cycling Track;1km time trial;M;Silver;GRE
1896;Athens;Cycling;Cycling Track;Sprint indivual;M;Bronze;FRA
1896;Athens;Cycling;Cycling Track;Sprint indivual;M;Gold;FRA
1896;Athens;Cycling;Cycling Track;Sprint indivual;M;Silver;GRE
1896;Athens;Fencing;Fencing;foil individual;M;Bronze;GRE
1896;Athens;Fencing;Fencing;foil individual;M;Gold;FRA
1896;Athens;Fencing;Fencing;foil individual;M;Silver;FRA
1896;Athens;Fencing;Fencing;foil, masters;M;Gold;GRE
1896;Athens;Fencing;Fencing;foil, masters;M;Silver;FRA
1896;Athens;Fencing;Fencing;sabre individual;M;Bronze;DEN
1896;Athens;Fencing;Fencing;sabre individual;M;Gold;GRE
1896;Athens;Fencing;Fencing;sabre individual;M;Silver;GRE
1896;Athens;Gymnastics;Artistic G.;horizontal bar;M;Gold;GER
1896;Athens;Gymnastics;Artistic G.;horizontal bar;M;Silver;GER
1896;Athens;Gymnastics;Artistic G.;parallel bars;M;Gold;GER
1896;Athens;Gymnastics;Artistic G.;parallel bars;M;Silver;SUI
1896;Athens;Gymnastics;Artistic G.;pommel horse;M;Gold;SUI
1896;Athens;Gymnastics;Artistic G.;pommel horse;M;Silver;GER
1896;Athens;Gymnastics;Artistic G.;rings;M;Bronze;GRE
1896;Athens;Gymnastics;Artistic G.;rings;M;Gold;GRE
1896;Athens;Gymnastics;Artistic G.;rings;M;Silver;GER
1896;Athens;Gymnastics;Artistic G.;rope climbing;M;Bronze;GER
1896;Athens;Gymnastics;Artistic G.;rope climbing;M;Gold;GRE
1896;Athens;Gymnastics;Artistic G.;rope climbing;M;Silver;GRE
1896;Athens;Gymnastics;Artistic G.;team, horizontal bar;M;Gold;GER
1896;Athens;Gymnastics;Artistic G.;team, horizontal bar;M;Gold;GER
1896;Athens;Gymnastics;Artistic G.;team, horizontal bar;M;Gold;GER
1896;Athens;Gymnastics;Artistic G.;team, horizontal bar;M;Gold;GER
1896;Athens;Gymnastics;Artistic G.;team, horizontal bar;M;Gold;GER
1896;Athens;Gymnastics;Artistic G.;team, horizontal bar;M;Gold;GER
1896;Athens;Gymnastics;Artistic G.;team, horizontal bar;M;Gold;GER
1896;Athens;Gymnastics;Artistic G.;team, horizontal bar;M;Gold;GER
1896;Athens;Gymnastics;Artistic G.;team, horizontal bar;M;Gold;GER
1896;Athens;Gymnastics;Artistic G.;team, horizontal bar;M;Gold;GER
1896;Athens;Gymnastics;Artistic G.;team, horizontal bar;M;Gold;GER
1896;Athens;Gymnastics;Artistic G.;team, parallel bars;M;Bronze;GRE
1896;Athens;Gymnastics;Artistic G.;team, parallel bars;M;Bronze;GRE
1896;Athens;Gymnastics;Artistic G.;team, parallel bars;M;Bronze;GRE
1896;Athens;Gymnastics;Artistic G.;team, parallel bars;M;Bronze;GRE
1896;Athens;Gymnastics;Artistic G.;team, parallel bars;M;Gold;GER
1896;Athens;Gymnastics;Artistic G.;team, parallel bars;M;Gold;GER
1896;Athens;Gymnastics;Artistic G.;team, parallel bars;M;Gold;GER
