Year;City;Sport;Discipline;Event;Event gender;Medal;NOC
1932;Lake Placid;Ice Hockey;Ice Hockey;ice hockey;M;Gold;CAN
1932;Lake Placid;Skating;Figure skating;individual;M;Bronze;CAN
1932;Lake Placid;Skating;Speed skating;10000m;M;Bronze;CAN
1932;Lake Placid;Skating;Speed skating;1500m;M;Bronze;CAN
1932;Lake Placid;Skating;Speed skating;1500m;M;Silver;CAN
1932;Lake Placid;Skating;Speed skating;5000m;M;Bronze;CAN
1932;Lake Placid;Skating;Speed skating;500m;M;Bronze;CAN
1932;Lake Placid;Skiing;Cross Country S;18km;M;Bronze;FIN
1932;Lake Placid;Skiing;Cross Country S;50km;M;Gold;FIN
1932;Lake Placid;Skiing;Cross Country S;50km;M;Silver;FIN
1932;Lake Placid;Skating;Figure skating;pairs;X;Gold;FRA
1932;Lake Placid;Bobsleigh;Bobsleigh;four-man;M;Bronze;GER
1932;Lake Placid;Ice Hockey;Ice Hockey;ice hockey;M;Bronze;GER
1932;Lake Placid;Skating;Figure skating;pairs;X;Bronze;HUN
1932;Lake Placid;Skating;Figure skating;individual;W;Gold;NOR
1932;Lake Placid;Skating;Speed skating;10000m;M;Silver;NOR
1932;Lake Placid;Skating;Speed skating;500m;M;Silver;NOR
1932;Lake Placid;Skiing;Cross Country S;50km;M;Bronze;NOR
1932;Lake Placid;Skiing;Nordic Combined;individual;M;Bronze;NOR
1932;Lake Placid;Skiing;Nordic Combined;individual;M;Gold;NOR
1932;Lake Placid;Skiing;Nordic Combined;individual;M;Silver;NOR
1932;Lake Placid;Skiing;Ski Jumping;K90 individual (70m);M;Bronze;NOR
1932;Lake Placid;Skiing;Ski Jumping;K90 individual (70m);M;Gold;NOR
1932;Lake Placid;Skiing;Ski Jumping;K90 individual (70m);M;Silver;NOR
1932;Lake Placid;Bobsleigh;Bobsleigh;two-man;M;Silver;SUI
1932;Lake Placid;Skating;Figure skating;individual;M;Silver;SWE
1932;Lake Placid;Skiing;Cross Country S;18km;M;Gold;SWE
1932;Lake Placid;Skiing;Cross Country S;18km;M;Silver;SWE
1932;Lake Placid;Bobsleigh;Bobsleigh;four-man;M;Gold;USA
1932;Lake Placid;Bobsleigh;Bobsleigh;four-man;M;Silver;USA
1932;Lake Placid;Bobsleigh;Bobsleigh;two-man;M;Bronze;USA
1932;Lake Placid;Bobsleigh;Bobsleigh;two-man;M;Gold;USA
1932;Lake Placid;Ice Hockey;Ice Hockey;ice hockey;M;Silver;USA
1932;Lake Placid;Skating;Figure skating;individual;W;Bronze;USA
1932;Lake Placid;Skating;Figure skating;pairs;X;Silver;USA
1932;Lake Placid;Skating;Speed skating;10000m;M;Gold;USA
1932;Lake Placid;Skating;Speed skating;1500m;M;Gold;USA
1932;Lake Placid;Skating;Speed skating;5000m;M;Gold;USA
1932;Lake Placid;Skating;Speed skating;5000m;M;Silver;USA
1932;Lake Placid;Skating;Speed skating;500m;M;Gold;USA
1936;Garmisch-Partenkirchen;Skating;Figure skating;individual;M;Bronze;AUT
1936;Garmisch-Partenkirchen;Skating;Figure skating;individual;M;Gold;AUT
1936;Garmisch-Partenkirchen;Skating;Figure skating;pairs;X;Silver;AUT
1936;Garmisch-Partenkirchen;Skating;Speed skating;10000m;M;Bronze;AUT
1936;Garmisch-Partenkirchen;Ice Hockey;Ice Hockey;ice hockey;M;Silver;CAN
1936;Garmisch-Partenkirchen;Skating;Speed skating;10000m;M;Silver;FIN
1936;Garmisch-Partenkirchen;Skating;Speed skating;1500m;M;Bronze;FIN
1936;Garmisch-Partenkirchen;Skating;Speed skating;5000m;M;Bronze;FIN
1936;Garmisch-Partenkirchen;Skating;Speed skating;5000m;M;Silver;FIN
1936;Garmisch-Partenkirchen;Skiing;Cross Country S;18km;M;Bronze;FIN
1936;Garmisch-Partenkirchen;Skiing;Cross Country S;4x10km relay;M;Gold;FIN
1936;Garmisch-Partenkirchen;Skiing;Alpine Skiing;alpine combined;M;Bronze;FRA
1936;Garmisch-Partenkirchen;Bobsleigh;Bobsleigh;four-man;M;Bronze;GBR
1936;Garmisch-Partenkirchen;Ice Hockey;Ice Hockey;ice hockey;M;Gold;GBR
1936;Garmisch-Partenkirchen;Skating;Figure skating;individual;W;Silver;GBR
1936;Garmisch-Partenkirchen;Skating;Figure skating;individual;M;Silver;GER
1936;Garmisch-Partenkirchen;Skating;Figure skating;pairs;X;Gold;GER
1936;Garmisch-Partenkirchen;Skiing;Alpine Skiing;alpine combined;M;Gold;GER
1936;Garmisch-Partenkirchen;Skiing;Alpine Skiing;alpine combined;M;Silver;GER
1936;Garmisch-Partenkirchen;Skiing;Alpine Skiing;alpine combined;W;Gold;GER
1936;Garmisch-Partenkirchen;Skiing;Alpine Skiing;alpine combined;W;Silver;GER
1936;Garmisch-Partenkirchen;Skating;Figure skating;pairs;X;Bronze;HUN
1936;Garmisch-Partenkirchen;Skating;Figure skating;individual;W;Gold;NOR
1936;Garmisch-Partenkirchen;Skating;Speed skating;10000m;M;Gold;NOR
1936;Garmisch-Partenkirchen;Skating;Speed skating;1500m;M;Gold;NOR
1936;Garmisch-Partenkirchen;Skating;Speed skating;1500m;M;Silver;NOR
1936;Garmisch-Partenkirchen;Skating;Speed skating;5000m;M;Gold;NOR
1936;Garmisch-Partenkirchen;Skating;Speed skating;500m;M;Gold;NOR
1936;Garmisch-Partenkirchen;Skating;Speed skating;500m;M;Silver;NOR
1936;Garmisch-Partenkirchen;Skiing;Alpine Skiing;alpine combined;W;Bronze;NOR
1936;Garmisch-Partenkirchen;Skiing;Cross Country S;18km;M;Silver;NOR
1936;Garmisch-Partenkirchen;Skiing;Cross Country S;4x10km relay;M;Silver;NOR
1936;Garmisch-Partenkirchen;Skiing;Nordic Combined;individual;M;Bronze;NOR
1936;Garmisch-Partenkirchen;Skiing;Nordic Combined;individual;M;Gold;NOR
1936;Garmisch-Partenkirchen;Skiing;Nordic Combined;individual;M;Silver;NOR
1936;Garmisch-Partenkirchen;Skiing;Ski Jumping;K90 individual (70m);M;Bronze;NOR
1936;Garmisch-Partenkirchen;Skiing;Ski Jumping;K90 individual (70m);M;Gold;NOR
1936;Garmisch-Partenkirchen;Bobsleigh;Bobsleigh;four-man;M;Gold;SUI
1936;Garmisch-Partenkirchen;Bobsleigh;Bobsleigh;four-man;M;Silver;SUI
1936;Garmisch-Partenkirchen;Bobsleigh;Bobsleigh;two-man;M;Silver;SUI
1936;Garmisch-Partenkirchen;Skating;Figure skating;individual;W;Bronze;SWE
1936;Garmisch-Partenkirchen;Skiing;Cross Country S;18km;M;Gold;SWE
1936;Garmisch-Partenkirchen;Skiing;Cross Country S;4x10km relay;M;Bronze;SWE
1936;Garmisch-Partenkirchen;Skiing;Cross Country S;50km;M;Bronze;SWE
1936;Garmisch-Partenkirchen;Skiing;Cross Country S;50km;M;Gold;SWE
1936;Garmisch-Partenkirchen;Skiing;Cross Country S;50km;M;Silver;SWE
1936;Garmisch-Partenkirchen;Skiing;Ski Jumping;K90 individual (70m);M;Silver;SWE
1936;Garmisch-Partenkirchen;Bobsleigh;Bobsleigh;two-man;M;Bronze;USA
1936;Garmisch-Partenkirchen;Bobsleigh;Bobsleigh;two-man;M;Gold;USA
1936;Garmisch-Partenkirchen;Ice Hockey;Ice Hockey;ice hockey;M;Bronze;USA
1936;Garmisch-Partenkirchen;Skating;Speed skating;500m;M;Bronze;USA
1948;St. Moritz;Skating;Figure skating;individual;M;Bronze;AUT
1948;St. Moritz;Skating;Figure skating;individual;W;Silver;AUT
1948;St. Moritz;Skiing;Alpine Skiing;alpine combined;W;Bronze;AUT
1948;St. Moritz;Skiing;Alpine Skiing;alpine combined;W;Gold;AUT
1948;St. Moritz;Skiing;Alpine Skiing;downhill;M;Silver;AUT
1948;St. Moritz;Skiing;Alpine Skiing;downhill;W;Bronze;AUT
1948;St. Moritz;Skiing;Alpine Skiing;downhill;W;Silver;AUT
1948;St. Moritz;Skiing;Alpine Skiing;slalom;W;Bronze;AUT
1948;St. Moritz;Bobsleigh;Bobsleigh;four-man;M;Silver;BEL
1948;St. Moritz;Skating;Figure skating;pairs;X;Gold;BEL
1948;St. Moritz;Ice Hockey;Ice Hockey;ice hockey;M;Gold;CAN
1948;St. Moritz;Skating;Figure skating;individual;W;Gold;CAN
1948;St. Moritz;Skating;Figure skating;pairs;X;Bronze;CAN
1948;St. Moritz;Skating;Speed skating;10000m;M;Bronze;FIN
1948;St. Moritz;Skating;Speed skating;10000m;M;Silver;FIN
1948;St. Moritz;Skiing;Cross Country S;4x10km relay;M;Silver;FIN
1948;St. Moritz;Skiing;Cross Country S;50km;M;Bronze;FIN
1948;St. Moritz;Skiing;Nordic Combined;individual;M;Gold;FIN
1948;St. Moritz;Skiing;Nordic Combined;individual;M;Silver;FIN
1948;St. Moritz;Skiing;Alpine Skiing;alpine combined;M;Bronze;FRA
1948;St. Moritz;Skiing;Alpine Skiing;alpine combined;M;Gold;FRA
1948;St. Moritz;Skiing;Alpine Skiing;downhill;M;Gold;FRA
1948;St. Moritz;Skiing;Alpine Skiing;slalom;M;Bronze;FRA
1948;St. Moritz;Skiing;Alpine Skiing;slalom;M;Silver;FRA
1948;St. Moritz;Bobsleigh;Skeleton;individual;M;Bronze;GBR
1948;St. Moritz;Skating;Figure skating;individual;W;Bronze;GBR
1948;St. Moritz;Skating;Figure skating;pairs;X;Silver;HUN
1948;St. Moritz;Bobsleigh;Skeleton;individual;M;Gold;ITA
1948;St. Moritz;Skating;Speed skating;1500m;M;Bronze;NOR
1948;St. Moritz;Skating;Speed skating;1500m;M;Gold;NOR
1948;St. Moritz;Skating;Speed skating;5000m;M;Gold;NOR
1948;St. Moritz;Skating;Speed skating;5000m;M;Silver;NOR
1948;St. Moritz;Skating;Speed skating;500m;M;Gold;NOR
1948;St. Moritz;Skating;Speed skating;500m;M;Silver;NOR
1948;St. Moritz;Skiing;Cross Country S;4x10km relay;M;Bronze;NOR
1948;St. Moritz;Skiing;Ski Jumping;K90 individual (70m);M;Bronze;NOR
1948;St. Moritz;Skiing;Ski Jumping;K90 individual (70m);M;Gold;NOR
1948;St. Moritz;Skiing;Ski Jumping;K90 individual (70m);M;Silver;NOR
1948;St. Moritz;Bobsleigh;Bobsleigh;two-man;M;Gold;SUI
1948;St. Moritz;Bobsleigh;Bobsleigh;two-man;M;Silver;SUI
1948;St. Moritz;Ice Hockey;Ice Hockey;ice hockey;M;Bronze;SUI
1948;St. Moritz;Skating;Figure skating;individual;M;Silver;SUI
1948;St. Moritz;Skiing;Alpine Skiing;alpine combined;M;Silver;SUI
1948;St. Moritz;Skiing;Alpine Skiing;downhill;M;Bronze;SUI
1948;St. Moritz;Skiing;Alpine Skiing;downhill;M;Bronze;SUI
1948;St. Moritz;Skiing;Alpine Skiing;downhill;W;Gold;SUI
1948;St. Moritz;Skiing;Alpine Skiing;slalom;M;Gold;SUI
1948;St. Moritz;Skiing;Alpine Skiing;slalom;W;Silver;SUI
1948;St. Moritz;Skating;Speed skating;10000m;M;Gold;SWE
1948;St. Moritz;Skating;Speed skating;1500m;M;Silver;SWE
1948;St. Moritz;Skating;Speed skating;5000m;M;Bronze;SWE
1948;St. Moritz;Skiing;Cross Country S;18km;M;Bronze;SWE
1948;St. Moritz;Skiing;Cross Country S;18km;M;Gold;SWE
1948;St. Moritz;Skiing;Cross Country S;18km;M;Silver;SWE
1948;St. Moritz;Skiing;Cross Country S;4x10km relay;M;Gold;SWE
1948;St. Moritz;Skiing;Cross Country S;50km;M;Gold;SWE
1948;St. Moritz;Skiing;Cross Country S;50km;M;Silver;SWE
1948;St. Moritz;Skiing;Nordic Combined;individual;M;Bronze;SWE
1948;St. Moritz;Ice Hockey;Ice Hockey;ice hockey;M;Silver;TCH
1948;St. Moritz;Bobsleigh;Bobsleigh;four-man;M;Bronze;USA
1948;St. Moritz;Bobsleigh;Bobsleigh;four-man;M;Gold;USA
1948;St. Moritz;Bobsleigh;Bobsleigh;two-man;M;Bronze;USA
1948;St. Moritz;Bobsleigh;Skeleton;individual;M;Silver;USA
1948;St. Moritz;Skating;Figure skating;individual;M;Gold;USA
1948;St. Moritz;Skating;Speed skating;500m;M;Silver;USA
1948;St. Moritz;Skating;Speed skating;500m;M;Silver;USA
1948;St. Moritz;Skiing;Alpine Skiing;alpine combined;W;Silver;USA
1948;St. Moritz;Skiing;Alpine Skiing;slalom;W;Gold;USA
1952;Oslo;Skating;Figure skating;individual;M;Silver;AUT
1952;Oslo;Skiing;Alpine Skiing;downhill;M;Bronze;AUT
1952;Oslo;Skiing;Alpine Skiing;downhill;M;Silver;AUT
1952;Oslo;Skiing;Alpine Skiing;downhill;W;Gold;AUT
1952;Oslo;Skiing;Alpine Skiing;giant slalom;M;Bronze;AUT
1952;Oslo;Skiing;Alpine Skiing;giant slalom;M;Silver;AUT
1952;Oslo;Skiing;Alpine Skiing;giant slalom;W;Silver;AUT
1952;Oslo;Skiing;Alpine Skiing;slalom;M;Gold;AUT
1952;Oslo;Ice Hockey;Ice Hockey;ice hockey;M;Gold;CAN
1952;Oslo;Skating;Speed skating;500m;M;Bronze;CAN
1952;Oslo;Skiing;Cross Country S;10km;W;Bronze;FIN
1952;Oslo;Skiing;Cross Country S;10km;W;Gold;FIN
1952;Oslo;Skiing;Cross Country S;10km;W;Silver;FIN
1952;Oslo;Skiing;Cross Country S;18km;M;Bronze;FIN
1952;Oslo;Skiing;Cross Country S;18km;M;Silver;FIN
1952;Oslo;Skiing;Cross Country S;4x10km relay;M;Gold;FIN
1952;Oslo;Skiing;Cross Country S;50km;M;Gold;FIN
1952;Oslo;Skiing;Cross Country S;50km;M;Silver;FIN
1952;Oslo;Skiing;Nordic Combined;individual;M;Silver;FIN
1952;Oslo;Skating;Figure skating;individual;W;Bronze;FRA
1952;Oslo;Bobsleigh;Bobsleigh;four-man;M;Gold;FRG
1952;Oslo;Bobsleigh;Bobsleigh;two-man;M;Gold;FRG
1952;Oslo;Skating;Figure skating;individual;W;Gold;GBR
1952;Oslo;Skating;Figure skating;pairs;X;Gold;GER
1952;Oslo;Skiing;Alpine Skiing;downhill;W;Silver;GER
1952;Oslo;Skiing;Alpine Skiing;giant slalom;W;Bronze;GER
1952;Oslo;Skiing;Alpine Skiing;slalom;W;Bronze;GER
1952;Oslo;Skiing;Alpine Skiing;slalom;W;Silver;GER
1952;Oslo;Skating;Figure skating;pairs;X;Bronze;HUN
1952;Oslo;Skiing;Alpine Skiing;downhill;M;Gold;ITA
1952;Oslo;Skiing;Alpine Skiing;downhill;W;Bronze;ITA
1952;Oslo;Skating;Speed skating;10000m;M;Silver;NED
1952;Oslo;Skating;Speed skating;1500m;M;Silver;NED
1952;Oslo;Skating;Speed skating;5000m;M;Silver;NED
1952;Oslo;Skating;Speed skating;10000m;M;Gold;NOR
1952;Oslo;Skating;Speed skating;1500m;M;Bronze;NOR
1952;Oslo;Skating;Speed skating;1500m;M;Gold;NOR
1952;Oslo;Skating;Speed skating;5000m;M;Bronze;NOR
1952;Oslo;Skating;Speed skating;5000m;M;Gold;NOR
1952;Oslo;Skating;Speed skating;500m;M;Bronze;NOR
1952;Oslo;Skiing;Alpine Skiing;giant slalom;M;Gold;NOR
1952;Oslo;Skiing;Alpine Skiing;slalom;M;Bronze;NOR
1952;Oslo;Skiing;Alpine Skiing;slalom;M;Silver;NOR
1952;Oslo;Skiing;Cross Country S;18km;M;Gold;NOR
1952;Oslo;Skiing;Cross Country S;4x10km relay;M;Silver;NOR
1952;Oslo;Skiing;Cross Country S;50km;M;Bronze;NOR
1952;Oslo;Skiing;Nordic Combined;individual;M;Bronze;NOR
1952;Oslo;Skiing;Nordic Combined;individual;M;Gold;NOR
1952;Oslo;Skiing;Ski Jumping;K90 individual (70m);M;Gold;NOR
1952;Oslo;Skiing;Ski Jumping;K90 individual (70m);M;Silver;NOR
1952;Oslo;Bobsleigh;Bobsleigh;four-man;M;Bronze;SUI
1952;Oslo;Bobsleigh;Bobsleigh;two-man;M;Bronze;SUI
1952;Oslo;Ice Hockey;Ice Hockey;ice hockey;M;Bronze;SWE
1952;Oslo;Skating;Speed skating;10000m;M;Bronze;SWE
1952;Oslo;Skiing;Cross Country S;4x10km relay;M;Bronze;SWE
1952;Oslo;Skiing;Ski Jumping;K90 individual (70m);M;Bronze;SWE
1952;Oslo;Bobsleigh;Bobsleigh;four-man;M;Silver;USA
1952;Oslo;Bobsleigh;Bobsleigh;two-man;M;Silver;USA
1952;Oslo;Ice Hockey;Ice Hockey;ice hockey;M;Silver;USA
1952;Oslo;Skating;Figure skating;individual;M;Bronze;USA
1952;Oslo;Skating;Figure skating;individual;M;Gold;USA
1952;Oslo;Skating;Figure skating;individual;W;Silver;USA
1952;Oslo;Skating;Figure skating;pairs;X;Silver;USA
1952;Oslo;Skating;Speed skating;500m;M;Gold;USA
1952;Oslo;Skating;Speed skating;500m;M;Silver;USA
1952;Oslo;Skiing;Alpine Skiing;giant slalom;W;Gold;USA
1952;Oslo;Skiing;Alpine Skiing;slalom;W;Gold;USA
1956;Cortina d'Ampezzo;Skating;Figure skating;individual;W;Bronze;AUT
1956;Cortina d'Ampezzo;Skating;Figure skating;pairs;X;Gold;AUT
1956;Cortina d'Ampezzo;Skiing;Alpine Skiing;downhill;M;Bronze;AUT
1956;Cortina d'Ampezzo;Skiing;Alpine Skiing;downhill;M;Gold;AUT
1956;Cortina d'Ampezzo;Skiing;Alpine Skiing;giant slalom;M;Bronze;AUT
1956;Cortina d'Ampezzo;Skiing;Alpine Skiing;giant slalom;M;Gold;AUT
1956;Cortina d'Ampezzo;Skiing;Alpine Skiing;giant slalom;M;Silver;AUT
1956;Cortina d'Ampezzo;Skiing;Alpine Skiing;giant slalom;W;Bronze;AUT
1956;Cortina d'Ampezzo;Skiing;Alpine Skiing;giant slalom;W;Silver;AUT
1956;Cortina d'Ampezzo;Skiing;Alpine Skiing;slalom;M;Gold;AUT
1956;Cortina d'Ampezzo;Skiing;Alpine Skiing;slalom;W;Silver;AUT
1956;Cortina d'Ampezzo;Ice Hockey;Ice Hockey;ice hockey;M;Bronze;CAN
1956;Cortina d'Ampezzo;Skating;Figure skating;pairs;X;Silver;CAN
1956;Cortina d'Ampezzo;Skiing;Alpine Skiing;downhill;W;Bronze;CAN
1956;Cortina d'Ampezzo;Skiing;Alpine Skiing;giant slalom;W;Gold;EUA
1956;Cortina d'Ampezzo;Skiing;Ski Jumping;K90 individual (70m);M;Bronze;EUA
1956;Cortina d'Ampezzo;Skating;Speed skating;1500m;M;Bronze;FIN
1956;Cortina d'Ampezzo;Skiing;Cross Country S;30km mass start;M;Gold;FIN
1956;Cortina d'Ampezzo;Skiing;Cross Country S;3x5km relay;W;Gold;FIN
1956;Cortina d'Ampezzo;Skiing;Cross Country S;4x10km relay;M;Silver;FIN
1956;Cortina d'Ampezzo;Skiing;Cross Country S;50km;M;Silver;FIN
1956;Cortina d'Ampezzo;Skiing;Ski Jumping;K90 individual (70m);M;Gold;FIN
1956;Cortina d'Ampezzo;Skiing;Ski Jumping;K90 individual (70m);M;Silver;FIN
1956;Cortina d'Ampezzo;Skating;Figure skating;pairs;X;Bronze;HUN
1956;Cortina d'Ampezzo;Bobsleigh;Bobsleigh;four-man;M;Silver;ITA
1956;Cortina d'Ampezzo;Bobsleigh;Bobsleigh;two-man;M;Gold;ITA
1956;Cortina d'Ampezzo;Bobsleigh;Bobsleigh;two-man;M;Silver;ITA
1956;Cortina d'Ampezzo;Skiing;Alpine Skiing;slalom;M;Silver;JPN
1956;Cortina d'Ampezzo;Skating;Speed skating;10000m;M;Silver;NOR
1956;Cortina d'Ampezzo;Skating;Speed skating;500m;M;Bronze;NOR
1956;Cortina d'Ampezzo;Skiing;Cross Country S;15km;M;Gold;NOR
1956;Cortina d'Ampezzo;Skiing;Nordic Combined;individual;M;Gold;NOR
1956;Cortina d'Ampezzo;Skiing;Nordic Combined;individual;M;Bronze;POL
1956;Cortina d'Ampezzo;Bobsleigh;Bobsleigh;four-man;M;Gold;SUI
1956;Cortina d'Ampezzo;Bobsleigh;Bobsleigh;two-man;M;Bronze;SUI
1956;Cortina d'Ampezzo;Skiing;Alpine Skiing;downhill;M;Silver;SUI
1956;Cortina d'Ampezzo;Skiing;Alpine Skiing;downhill;W;Gold;SUI
1956;Cortina d'Ampezzo;Skiing;Alpine Skiing;downhill;W;Silver;SUI
1956;Cortina d'Ampezzo;Skiing;Alpine Skiing;slalom;W;Gold;SUI
1956;Cortina d'Ampezzo;Skating;Speed skating;10000m;M;Gold;SWE
1956;Cortina d'Ampezzo;Skating;Speed skating;5000m;M;Silver;SWE
1956;Cortina d'Ampezzo;Skiing;Alpine Skiing;slalom;M;Bronze;SWE
1956;Cortina d'Ampezzo;Skiing;Cross Country S;10km;W;Bronze;SWE
1956;Cortina d'Ampezzo;Skiing;Cross Country S;15km;M;Silver;SWE
1956;Cortina d'Ampezzo;Skiing;Cross Country S;30km mass start;M;Silver;SWE
1956;Cortina d'Ampezzo;Skiing;Cross Country S;3x5km relay;W;Bronze;SWE
1956;Cortina d'Ampezzo;Skiing;Cross Country S;4x10km relay;M;Bronze;SWE
1956;Cortina d'Ampezzo;Skiing;Cross Country S;50km;M;Gold;SWE
